store_and_fwd_flag,mta_tax,total_amount,extra,ratecodeid,fare_amount,trip_distance,lpep_dropoff_datetime,pickup_longitude,pickup_latitude,vendorid,dropoff_longitude,passenger_count,tolls_amount,trip_type,payment_type,dropoff_latitude,lpep_pickup_datetime,improvement_surcharge,tip_amount
N,0.5,15.8,0.5,1,14.5,3.51,2016-01-01T00:39:46.000,-73.927299499511719,40.703895568847656,2,-73.892593383789063,1,0,1,2,40.675014495849609,2016-01-01T00:22:07.000,0.3,0
N,0.5,12.3,0.5,1,11,2.50,2016-01-01T00:39:28.000,-73.9515380859375,40.690036773681641,2,-73.938240051269531,1,0,1,2,40.708568572998047,2016-01-01T00:26:33.000,0.3,0
N,0.5,9.3,0.5,1,8,2.10,2016-01-01T00:39:58.000,-73.941307067871094,40.755275726318359,2,-73.936241149902344,1,0,1,2,40.773780822753906,2016-01-01T00:33:49.000,0.3,0
N,0.5,15.8,0.5,1,14.5,3.79,2016-01-01T00:38:07.000,-73.948379516601563,40.813934326171875,2,-73.917396545410156,1,0,1,2,40.840793609619141,2016-01-01T00:21:56.000,0.3,0
N,0.5,9.8,0.5,1,8.5,1.68,2016-01-01T00:38:35.000,-73.876632690429688,40.748569488525391,2,-73.896034240722656,1,0,1,2,40.737037658691406,2016-01-01T00:28:08.000,0.3,0
N,0.5,5.3,0.5,1,4,0.54,2016-01-01T00:39:54.000,-73.856010437011719,40.74359130859375,2,-73.862892150878906,1,0,1,2,40.747314453125,2016-01-01T00:37:48.000,0.3,0
N,0.5,19.56,0.5,1,15,3.37,2016-01-01T00:40:18.000,-73.948966979980469,40.714126586914062,2,-73.998825073242188,1,0,1,1,40.724105834960938,2016-01-01T00:22:58.000,0.3,3.26
N,0.5,5.3,0.5,1,4,0.60,2016-01-01T00:39:25.000,-74.02337646484375,40.634841918945313,2,-74.017288208007813,2,0,1,2,40.641826629638672,2016-01-01T00:37:18.000,0.3,0
N,0.5,12.74,0.5,1,8.5,1.46,2016-01-01T00:40:06.000,-73.944557189941406,40.714584350585938,2,-73.966415405273437,1,0,1,1,40.712921142578125,2016-01-01T00:31:01.000,0.3,2.94
N,0.5,8.16,0.5,1,5.5,1.08,2016-01-01T00:40:12.000,-73.84429931640625,40.721321105957031,2,-73.831832885742188,1,0,1,1,40.711597442626953,2016-01-01T00:35:46.000,0.3,1.36
N,0.5,16.8,0.5,1,15.5,4.09,2016-01-01T00:39:15.000,-73.945938110351563,40.821430206298828,2,-73.904380798339844,1,0,1,2,40.857185363769531,2016-01-01T00:22:48.000,0.3,0
N,0.5,15.8,0.5,1,14.5,3.87,2016-01-01T00:39:47.000,-73.838935852050781,40.881275177001953,2,-73.861030578613281,1,0,1,2,40.838985443115234,2016-01-01T00:23:46.000,0.3,0
N,0.5,9.3,0.5,1,8,1.68,2016-01-01T00:39:42.000,-73.92218017578125,40.740058898925781,2,-73.933334350585937,4,0,1,2,40.752944946289063,2016-01-01T00:31:06.000,0.3,0
N,0.5,5.3,0.5,1,4,0.56,2016-01-01T00:40:17.000,-73.981376647949219,40.667045593261719,2,-73.986907958984375,2,0,1,1,40.671966552734375,2016-01-01T00:37:27.000,0.3,0
N,0.5,8.8,0.5,1,7.5,1.77,2016-01-01T00:40:10.000,-73.922256469726562,40.755271911621094,2,-73.945549011230469,2,0,1,2,40.755573272705078,2016-01-01T00:33:12.000,0.3,0
N,0.5,18.5,0.5,1,13.5,4.02,2016-01-01T00:40:21.000,-74.011756896972656,40.679420471191406,2,-73.977577209472656,1,0,1,1,40.687545776367188,2016-01-01T00:30:05.000,0.3,3.7
N,0.5,19.8,0.5,1,18.5,5.55,2016-01-01T00:40:02.000,-73.908111572265625,40.771198272705078,2,-73.852874755859375,1,0,1,2,40.726310729980469,2016-01-01T00:24:40.000,0.3,0
N,0.5,18.8,0.5,1,17.5,5.51,2016-01-01T00:40:21.000,-73.8077392578125,40.700508117675781,2,-73.843437194824219,1,0,1,2,40.675342559814453,2016-01-01T00:19:11.000,0.3,0
N,0.5,6.8,0.5,1,5.5,0.85,2016-01-01T00:39:51.000,-73.84423828125,40.721328735351562,2,-73.852531433105469,1,0,1,2,40.726303100585938,2016-01-01T00:35:11.000,0.3,0
N,0.5,5.8,0.5,1,4.5,0.92,2016-01-01T00:39:53.000,-73.92987060546875,40.756538391113281,2,-73.942680358886719,1,0,1,2,40.751628875732422,2016-01-01T00:36:08.000,0.3,0
N,0.5,13.8,0.5,1,12.5,3.57,2016-01-01T00:40:00.000,-73.993743896484375,40.681739807128906,2,-74.01080322265625,1,0,1,2,40.6446533203125,2016-01-01T00:29:01.000,0.3,0
N,0.5,15.36,0.5,1,11.5,2.98,2016-01-01T00:40:32.000,-73.957908630371094,40.721866607666016,2,-73.953804016113281,6,0,1,1,40.690376281738281,2016-01-01T00:27:18.000,0.3,2.56
N,0.5,11.76,0.5,1,8.5,2.11,2016-01-01T00:40:29.000,-73.964134216308594,40.693668365478516,2,-73.961479187011719,1,0,1,1,40.716323852539062,2016-01-01T00:32:13.000,0.3,1.96
N,0.5,15.96,0.5,1,12,2.66,2016-01-01T00:40:00.000,-73.956649780273438,40.716884613037109,2,-73.917144775390625,1,0,1,1,40.710964202880859,2016-01-01T00:24:44.000,0.3,2.66
N,0.5,16.56,0.5,1,12.5,2.92,2016-01-01T00:40:32.000,-73.872909545898438,40.840999603271484,2,-73.906303405761719,1,0,1,1,40.862716674804688,2016-01-01T00:25:50.000,0.3,2.76
N,0.5,10.14,0.5,1,6.5,1.23,2016-01-01T00:40:13.000,-73.918922424316406,40.765727996826172,2,-73.903083801269531,1,0,1,1,40.770721435546875,2016-01-01T00:33:15.000,0.3,2.34
N,0.5,7.25,0.5,1,4.5,0.78,2016-01-01T00:40:27.000,-73.962936401367188,40.673812866210938,2,-73.951156616210937,1,0,1,1,40.673450469970703,2016-01-01T00:37:16.000,0.3,1.45
N,0.5,20.8,0.5,1,19.5,6.53,2016-01-01T00:39:28.000,-73.91485595703125,40.763992309570313,2,-73.861679077148438,1,0,1,2,40.734569549560547,2016-01-01T00:26:24.000,0.3,0
N,0.5,9.75,0.5,1,6.5,1.36,2016-01-01T00:40:25.000,-73.954887390136719,40.688480377197266,2,-73.942024230957031,1,0,1,1,40.695468902587891,2016-01-01T00:34:21.000,0.3,1.95
N,0.5,18.36,0.5,1,14,3.68,2016-01-01T00:40:43.000,-73.924774169921875,40.741310119628906,2,-73.933212280273438,1,0,1,1,40.704250335693359,2016-01-01T00:25:45.000,0.3,3.06
N,0.5,26.8,0.5,1,25.5,7.99,2016-01-01T00:39:10.000,-73.985397338867187,40.671195983886719,2,-73.973663330078125,1,0,1,2,40.747455596923828,2016-01-01T00:17:02.000,0.3,0
N,0.5,13.39,0.5,1,9,2.15,2016-01-01T00:40:33.000,-73.979454040527344,40.660800933837891,2,-73.965972900390625,1,0,1,1,40.634502410888672,2016-01-01T00:31:44.000,0.3,3.09
N,0.5,9.96,0.5,1,7,0.71,2016-01-01T00:40:30.000,-73.919219970703125,40.758762359619141,2,-73.914115905761719,1,0,1,1,40.759922027587891,2016-01-01T00:31:56.000,0.3,1.66
N,0.5,51.3,0.5,1,47,16.95,2016-01-01T00:40:38.000,-73.909431457519531,40.775253295898437,2,-74.027633666992188,1,0,1,1,40.618354797363281,2016-01-01T00:13:58.000,0.3,3
N,0.5,12.25,0.5,1,8.5,1.86,2016-01-01T00:40:13.000,-73.9515380859375,40.743122100830078,2,-73.957572937011719,1,0,1,1,40.722248077392578,2016-01-01T00:32:17.000,0.3,2.45
N,0.5,14.3,0.5,1,13,3.44,2016-01-01T00:39:47.000,-73.989311218261719,40.7015380859375,2,-73.962806701660156,1,0,1,2,40.679988861083984,2016-01-01T00:25:59.000,0.3,0
N,0.5,9.3,0.5,1,7,1.38,2016-01-01T00:40:50.000,-73.93597412109375,40.686405181884766,2,-73.955711364746094,1,0,1,1,40.681285858154297,2016-01-01T00:34:15.000,0.3,1
N,0.5,14.3,0.5,1,13,2.72,2016-01-01T00:40:09.000,-73.873252868652344,40.734596252441406,2,-73.884613037109375,1,0,1,2,40.755596160888672,2016-01-01T00:24:23.000,0.3,0
N,0.5,4.8,0.5,1,3.5,0.26,2016-01-01T00:40:19.000,-73.95318603515625,40.803531646728516,2,-73.955734252929687,1,0,1,2,40.806293487548828,2016-01-01T00:38:34.000,0.3,0
N,0.5,5.8,0.5,1,4.5,0.60,2016-01-01T00:39:55.000,-73.915168762207031,40.764003753662109,2,-73.924598693847656,1,0,1,2,40.768386840820312,2016-01-01T00:36:33.000,0.3,0
N,0.5,11.3,0.5,1,10,1.68,2016-01-01T00:39:14.000,-73.941177368164062,40.813694000244141,2,-73.915489196777344,1,0,1,2,40.805973052978516,2016-01-01T00:26:12.000,0.3,0
N,0.5,6.3,0.5,1,5,0.64,2016-01-01T00:40:36.000,-73.896400451660156,40.746185302734375,2,-73.897689819335938,1,0,1,2,40.738162994384766,2016-01-01T00:36:45.000,0.3,0
N,0.5,6.3,0.5,1,5,0.94,2016-01-01T00:40:12.000,-73.908683776855469,40.764904022216797,2,-73.914253234863281,1,0,1,2,40.753993988037109,2016-01-01T00:36:10.000,0.3,0
N,0.5,29.76,0.5,1,23.5,5.86,2016-01-01T00:40:59.000,-73.966529846191406,40.711318969726563,2,-73.991744995117188,1,0,1,1,40.748893737792969,2016-01-01T00:13:00.000,0.3,4.96
N,0.5,18.3,0.5,1,17,4.65,2016-01-02T00:00:24.000,-73.944869995117187,40.813938140869141,2,-73.956611633300781,1,0,1,2,40.768268585205078,2016-01-01T00:24:53.000,0.3,0
N,0.5,7.8,0.5,1,6.5,1.08,2016-01-01T00:40:16.000,-73.977165222167969,40.683547973632813,2,-73.966590881347656,1,0,1,2,40.682086944580078,2016-01-01T00:33:47.000,0.3,0
N,0.5,9.8,0.5,1,8.5,2.03,2016-01-01T00:34:31.000,-73.921562194824219,40.766696929931641,2,-73.91888427734375,1,0,1,2,40.743423461914063,2016-01-01T00:25:53.000,0.3,0
N,0.5,10.38,0.5,1,7,1.35,2016-01-01T00:39:47.000,-73.923500061035156,40.866977691650391,2,-73.935997009277344,1,0,1,1,40.851875305175781,2016-01-01T00:33:19.000,0.3,2.08
N,0.5,16.8,0.5,1,15.5,3.52,2016-01-01T00:40:14.000,-73.88848876953125,40.747035980224609,2,-73.94073486328125,1,0,1,2,40.755733489990234,2016-01-01T00:22:01.000,0.3,0
N,0.5,23.8,0.5,1,21.5,6.48,2016-01-01T00:40:15.000,-73.9107666015625,40.7728271484375,2,-73.812576293945313,6,0,1,1,40.764911651611328,2016-01-01T00:21:37.000,0.3,1
N,0.5,50.44,0.5,1,37.5,10.58,2016-01-01T00:40:56.000,-73.8748779296875,40.829345703125,2,-73.9840087890625,1,0,1,1,40.743137359619141,2016-01-01T00:00:06.000,0.3,11.64
N,0.5,16.56,0.5,1,12.5,2.51,2016-01-01T00:40:40.000,-73.963180541992188,40.684745788574219,2,-73.998504638671875,1,0,1,1,40.694511413574219,2016-01-01T00:24:20.000,0.3,2.76
N,0.5,30.3,0.5,1,29,10.32,2016-01-01T00:40:50.000,-73.951705932617188,40.714981079101562,2,-74.030609130859375,1,0,1,2,40.624397277832031,2016-01-01T00:23:51.000,0.3,0
N,0.5,11.8,0.5,1,9.5,1.79,2016-01-01T00:40:47.000,-73.980064392089844,40.676925659179688,2,-73.956695556640625,1,0,1,1,40.673255920410156,2016-01-01T00:29:07.000,0.3,1
N,0.5,14.69,0.5,1,10,2.21,2016-01-01T00:40:51.000,-73.955764770507813,40.717678070068359,2,-73.971305847167969,5,0,1,1,40.695751190185547,2016-01-01T00:30:52.000,0.3,3.39
N,0.5,11.8,0.5,1,10.5,2.60,2016-01-01T00:40:46.000,-73.879920959472656,40.756248474121094,2,-73.923820495605469,1,0,1,2,40.755973815917969,2016-01-01T00:31:19.000,0.3,0
N,0.5,12.88,0.5,1,9,1.39,2016-01-01T00:40:58.000,-73.932746887207031,40.703205108642578,2,-73.948394775390625,1,0,1,1,40.711231231689453,2016-01-01T00:29:49.000,0.3,2.58
N,0.5,12.8,0.5,1,11.5,2.42,2016-01-02T00:00:00.000,-73.993324279785156,40.682712554931641,2,-73.955810546875,1,0,1,2,40.690887451171875,2016-01-01T00:24:41.000,0.3,0
N,0.5,7.8,0.5,1,6.5,1.29,2016-01-01T00:40:41.000,-73.912094116210937,40.767356872558594,2,-73.912559509277344,1,0,1,2,40.777435302734375,2016-01-01T00:35:01.000,0.3,0
N,0.5,11.76,0.5,1,8.5,1.43,2016-01-01T00:40:59.000,-73.981895446777344,40.676963806152344,2,-73.983383178710938,2,0,1,1,40.694065093994141,2016-01-01T00:30:35.000,0.3,1.96
N,0.5,12.3,0.5,1,11,2.32,2016-01-01T00:40:46.000,-73.924308776855469,40.743606567382813,2,-73.885055541992188,1,0,1,2,40.744121551513672,2016-01-01T00:27:54.000,0.3,0
N,0.5,10.3,0.5,1,7,1.41,2016-01-01T00:40:51.000,-73.91845703125,40.765491485595703,2,-73.92901611328125,1,0,1,1,40.775867462158203,2016-01-01T00:33:18.000,0.3,2
N,0.5,18.8,0.5,1,17.5,3.50,2016-01-01T00:40:28.000,-73.95037841796875,40.707542419433594,2,-73.894302368164063,6,0,1,2,40.693222045898438,2016-01-01T00:16:39.000,0.3,0
N,0.5,5.8,0.5,1,4.5,0.67,2016-01-01T00:40:58.000,-73.952781677246094,40.798381805419922,2,-73.953720092773438,1,0,1,2,40.790668487548828,2016-01-01T00:37:39.000,0.3,0
N,0.5,14.8,0.5,1,13.5,3.20,2016-01-01T00:39:41.000,-73.944381713867187,40.823806762695312,2,-73.909423828125,1,0,1,2,40.844715118408203,2016-01-01T00:23:58.000,0.3,0
N,0.5,25.3,0.5,1,24,6.82,2016-01-01T00:40:53.000,-73.978439331054687,40.683986663818359,2,-73.994911193847656,1,0,1,2,40.769111633300781,2016-01-01T00:15:30.000,0.3,0
N,0.5,11.3,0.5,1,10,1.89,2016-01-01T00:40:25.000,-73.948776245117187,40.828948974609375,2,-73.944839477539063,1,0,1,2,40.808826446533203,2016-01-01T00:28:36.000,0.3,0
N,0.5,10.8,0.5,1,9.5,2.18,2016-01-01T00:40:43.000,-73.924102783203125,40.744026184082031,2,-73.902862548828125,1,0,1,2,40.744663238525391,2016-01-01T00:30:08.000,0.3,0
N,0.5,6.3,0.5,1,5,0.80,2016-01-01T00:41:00.000,-73.900749206542969,40.820125579833984,2,-73.886405944824219,1,0,1,2,40.827510833740234,2016-01-01T00:37:18.000,0.3,0
N,0.5,8.3,0.5,1,7,1.36,2016-01-01T00:41:03.000,-73.978729248046875,40.670341491699219,2,-73.993385314941406,1,0,1,2,40.660446166992188,2016-01-01T00:33:41.000,0.3,0
N,0.5,16.56,0.5,1,12.5,3.18,2016-01-01T23:50:07.000,-73.954978942871094,40.694721221923828,2,-73.959609985351563,1,0,1,1,40.729721069335938,2016-01-01T00:26:12.000,0.3,2.76
N,0.5,6.8,0.5,1,5.5,0.88,2016-01-01T00:40:07.000,-73.870796203613281,40.751415252685547,2,-73.884262084960938,3,0,1,2,40.747642517089844,2016-01-01T00:34:38.000,0.3,0
N,0.5,10.56,0.5,1,7.5,1.77,2016-01-01T00:41:03.000,-73.893295288085938,40.754806518554687,2,-73.923248291015625,1,0,1,1,40.761009216308594,2016-01-01T00:33:08.000,0.3,1.76
N,0.5,12.36,0.5,1,9,2.24,2016-01-01T00:41:02.000,-73.83062744140625,40.759483337402344,2,-73.845428466796875,1,0,1,1,40.784271240234375,2016-01-01T00:32:40.000,0.3,2.06
N,0.5,15.3,0.5,1,14,3.36,2016-01-01T00:39:41.000,-73.8048095703125,40.696079254150391,2,-73.862533569335938,1,0,1,2,40.681484222412109,2016-01-01T00:22:54.000,0.3,0
N,0.5,16.8,0.5,1,15.5,3.86,2016-01-01T00:40:33.000,-73.918258666992187,40.741100311279297,2,-73.883567810058594,2,0,1,2,40.756008148193359,2016-01-01T00:23:36.000,0.3,0
N,0.5,18.8,0.5,1,17.5,5.06,2016-01-01T00:40:18.000,-73.982658386230469,40.665275573730469,2,-73.9842529296875,1,0,1,2,40.607620239257813,2016-01-01T00:23:33.000,0.3,0
N,0.5,7.3,0.5,1,6,1.03,2016-01-01T00:40:53.000,-73.865791320800781,40.736736297607422,2,-73.862030029296875,5,0,1,2,40.749732971191406,2016-01-01T00:35:32.000,0.3,0
N,0.5,26.76,0.5,1,21,6.21,2016-01-01T00:40:52.000,-73.993988037109375,40.681522369384766,2,-73.965988159179688,1,0,1,1,40.713645935058594,2016-01-01T00:21:04.000,0.3,4.46
